"d";"g";"c";"sc";"p";"ccif";"glosa_ccif"
"01";"1";"7";"04";"04";"01.1.7.04.04";"RÁBANOS Y NABOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"04";"05";"01.1.7.04.05";"CEBOLLAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"04";"06";"01.1.7.04.06";"CHOCLOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"04";"07";"01.1.7.04.07";"HONGOS COMESTIBLES FRESCOS O REFRIGERADOS"
"01";"1";"7";"04";"08";"01.1.7.04.08";"ALGAS MARINAS COMESTIBLES FRESCAS O REFRIGERADAS"
"01";"1";"7";"04";"99";"01.1.7.04.99";"OTRAS HORTALIZAS, FRESCAS O REFRIGERADAS N.C.P."
"01";"1";"7";"05";"00";"01.1.7.05.00";"TUBÉRCULOS, PLÁTANOS Y BANANAS PARA COCINAR (ND)"
"01";"1";"7";"05";"01";"01.1.7.05.01";"PAPAS Y OTROS TUBÉRCULOS"
"01";"1";"7";"05";"02";"01.1.7.05.02";"PLÁTANOS Y BANANAS PARA COCINAR"
"01";"1";"7";"06";"00";"01.1.7.06.00";"LEGUMBRES SECAS (ND)"
"01";"1";"7";"06";"01";"01.1.7.06.01";"POROTOS SECOS"
"01";"1";"7";"06";"02";"01.1.7.06.02";"LENTEJAS SECAS"
"01";"1";"7";"06";"03";"01.1.7.06.03";"GARBANZOS SECOS"
"01";"1";"7";"06";"04";"01.1.7.06.04";"ARVEJAS SECAS"
"01";"1";"7";"06";"99";"01.1.7.06.99";"OTRAS LEGUMBRES SECAS N.C.P."
"01";"1";"7";"07";"00";"01.1.7.07.00";"OTRAS HORTALIZAS, TUBÉRCULOS, PLÁTANOS Y BANANAS PARA COCINAR, SECAS Y DESHIDRATADAS (ND)"
"01";"1";"7";"07";"01";"01.1.7.07.01";"OTRAS HORTALIZAS, TUBÉRCULOS, PLÁTANOS Y BANANAS PARA COCINAR, SECAS Y DESHIDRATADAS"
"01";"1";"7";"08";"00";"01.1.7.08.00";"HORTALIZAS, TUBÉRCULOS, PLÁTANOS, BANANAS PARA COCINAR, CONGELADOS (ND)"
"01";"1";"7";"08";"01";"01.1.7.08.01";"CHOCLOS CONGELADOS"
"01";"1";"7";"08";"02";"01.1.7.08.02";"ARVEJAS CONGELADAS"
"01";"1";"7";"08";"03";"01.1.7.08.03";"MIX DE VERDURAS CONGELADAS"
"01";"1";"7";"08";"99";"01.1.7.08.99";"OTRAS HORTALIZAS, TUBÉRCULOS, PLÁTANOS, BANANAS PARA COCINAR, CONGELADOS N.C.P."
"01";"1";"7";"09";"00";"01.1.7.09.00";"HORTALIZAS, TUBÉRCULOS, PLÁTANOS, BANANAS PARA COCINAR Y LEGUMBRES MOLIDAS Y OTRAS PREPARACIONES (ND)"
"01";"1";"7";"09";"01";"01.1.7.09.01";"HARINAS DE LEGUMBRES, HORTALIZAS, TUBÉRCULOS, PLÁTANOS Y BANANAS PARA COCINAR"
"01";"1";"7";"09";"02";"01.1.7.09.02";"LEGUMBRES ENLATADAS Y EN CONSERVA"
"01";"1";"7";"09";"03";"01.1.7.09.03";"HORTALIZAS, TUBÉRCULOS Y BANANAS PARA COCINAR, EN CONSERVA"
"01";"1";"7";"09";"04";"01.1.7.09.04";"PAPAS PRECOCINADAS CONGELADAS"
"01";"1";"7";"09";"05";"01.1.7.09.05";"SNACKS Y CHIPS DE PAPAS FRITAS ENVASADAS"
"01";"1";"7";"09";"06";"01.1.7.09.06";"PURÉ DE PAPAS"
"01";"1";"7";"09";"07";"01.1.7.09.07";"SUSTITUTOS DE CARNE A BASE DE SOJA, VERDURAS Y FRUTOS SECOS"
"01";"1";"7";"09";"08";"01.1.7.09.08";"VERDURAS ENCURTIDAS"
"01";"1";"7";"09";"99";"01.1.7.09.99";"OTRAS HORTALIZAS, LEGUMBRES Y TUBÉRCULOS CONSERVADOS O PROCESADOS N.C.P."
"01";"1";"8";"00";"00";"01.1.8.00.00";"AZÚCAR, REPOSTERÍA Y POSTRES (ND)"
"01";"1";"8";"01";"00";"01.1.8.01.00";"AZÚCAR DE CAÑA Y REMOLACHA (ND)"
"01";"1";"8";"01";"01";"01.1.8.01.01";"AZÚCAR DE CAÑA Y REMOLACHA"
"01";"1";"8";"02";"00";"01.1.8.02.00";"OTRAS AZÚCARES Y SUSTITUTOS DEL AZÚCAR (ND)"
"01";"1";"8";"02";"01";"01.1.8.02.01";"ENDULZANTES Y EDULCORANTES"
"01";"1";"8";"02";"99";"01.1.8.02.99";"OTRAS AZÚCARES, SUSTITUTOS DEL AZÚCAR Y SALSAS DULCES N.C.P"
"01";"1";"8";"03";"00";"01.1.8.03.00";"MERMELADAS, GELATINAS DE FRUTA, PURÉS Y PASTAS DE FRUTAS, MIEL (ND)"
"01";"1";"8";"03";"01";"01.1.8.03.01";"MERMELADAS"
"01";"1";"8";"03";"02";"01.1.8.03.02";"DULCES DE FRUTAS"
"01";"1";"8";"03";"03";"01.1.8.03.03";"MIEL NATURAL"
"01";"1";"8";"03";"04";"01.1.8.03.04";"POSTRES NO LÁCTEOS PREPARADOS"
"01";"1";"8";"04";"00";"01.1.8.04.00";"PURÉS DE FRUTOS SECOS, MANTEQUILLAS DE FRUTOS SECOS Y PASTAS DE FRUTOS SECOS (ND)"
"01";"1";"8";"04";"01";"01.1.8.04.01";"PURÉS DE FRUTOS SECOS, MANTEQUILLAS DE FRUTOS SECOS Y PASTAS DE FRUTOS SECOS"
"01";"1";"8";"05";"00";"01.1.8.05.00";"CHOCOLATE, CACAO Y PRODUCTOS ALIMENTICIOS A BASE DE CACAO (ND)"
"01";"1";"8";"05";"01";"01.1.8.05.01";"CHOCOLATES DE TODO TIPO"
"01";"1";"8";"05";"02";"01.1.8.05.02";"CACAO"
"01";"1";"8";"05";"03";"01.1.8.05.03";"OTROS PRODUCTOS ALIMENTICIOS A BASE DE CACAO"
"01";"1";"8";"06";"00";"01.1.8.06.00";"HIELO, HELADO Y SORBETE (ND)"
"01";"1";"8";"06";"01";"01.1.8.06.01";"HIELO COMESTIBLE"
"01";"1";"8";"06";"02";"01.1.8.06.02";"HELADOS FAMILIARES (CASSATA Y SIMILARES)"
"01";"1";"8";"06";"03";"01.1.8.06.03";"HELADOS INDIVIDUALES"
"01";"1";"8";"06";"04";"01.1.8.06.04";"POSTRES DE HELADOS"
"01";"1";"8";"06";"05";"01.1.8.06.05";"HELADOS COMESTIBLES NO IDENTIFICADOS"
"01";"1";"8";"09";"00";"01.1.8.09.00";"OTROS PRODUCTOS DULCES DE CONFITERÍA Y POSTRES N.C.P. (ND)"
"01";"1";"8";"09";"01";"01.1.8.09.01";"HORTALIZAS, FRUTAS Y FRUTOS SECOS CONFITADOS O CONSERVADOS EN AZÚCAR"
"01";"1";"8";"09";"02";"01.1.8.09.02";"CARAMELOS Y CHICLES"
"01";"1";"8";"09";"03";"01.1.8.09.03";"PRODUCTOS PARA REPOSTERÍA"
"01";"1";"8";"09";"99";"01.1.8.09.99";"OTROS PRODUCTOS DE CONFITERÍA Y POSTRES N.C.P."
"01";"1";"9";"00";"00";"01.1.9.00.00";"PLATOS PREPARADOS Y OTROS PRODUCTOS ALIMENTICIOS N.C.P. (ND)"
"01";"1";"9";"01";"00";"01.1.9.01.00";"PLATOS PREPARADOS (ND)"
"01";"1";"9";"01";"01";"01.1.9.01.01";"PIZZAS CON INGREDIENTES LISTAS PARA HORNEAR, FREÍR O CALENTAR"
"01";"1";"9";"01";"02";"01.1.9.01.02";"EMPANADAS SALADAS RELLENAS O CON AGREGADOS PARA HORNEAR, FREÍR O CALENTAR"
"01";"1";"9";"01";"03";"01.1.9.01.03";"OTROS TIPOS DE MASAS SALADAS RELLENAS O CON INGREDIENTES PARA HORNEAR, FREÍR O CALENTAR"
"01";"1";"9";"01";"04";"01.1.9.01.04";"PLATOS DE FONDO PARA HORNEAR, DESCONGELAR O CALENTAR"
"01";"1";"9";"01";"05";"01.1.9.01.05";"ENSALADAS PREPARADAS FRESCAS"
"01";"1";"9";"01";"06";"01.1.9.01.06";"PLATOS DE FONDO LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"07";"01.1.9.01.07";"MENÚS LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"08";"01.1.9.01.08";"SÁNDWICHES, COMPLETOS, PIZZAS, EMPANADAS Y MASAS SALADAS CON RELLENO LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"09";"01.1.9.01.09";"PAPAS FRITAS, SOPAIPILLAS Y OTROS ALIMENTOS DE PICOTEO LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"10";"01.1.9.01.10";"COMBOS O PROMOCIONES DE COMIDA RÁPIDA LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"11";"01.1.9.01.11";"POLLOS ASADOS LISTOS PARA SU CONSUMO"
"01";"1";"9";"01";"12";"01.1.9.01.12";"TÉ, CAFÉ Y OTRAS BEBIDAS PREPARADAS LISTAS PARA SU CONSUMO"
"01";"1";"9";"02";"00";"01.1.9.02.00";"ALIMENTOS PARA BEBÉ (ND)"
"01";"1";"9";"02";"01";"01.1.9.02.01";"FÓRMULAS, CEREALES Y SIMILARES PARA BEBÉS"
"01";"1";"9";"02";"02";"01.1.9.02.02";"ALIMENTOS HOMOGENEIZADOS PARA BEBÉS"
"01";"1";"9";"03";"00";"01.1.9.03.00";"SAL, CONDIMENTOS Y SALSAS (ND)"
"01";"1";"9";"03";"01";"01.1.9.03.01";"SAL"
"01";"1";"9";"03";"02";"01.1.9.03.02";"SALSAS DE TOMATE"
"01";"1";"9";"03";"03";"01.1.9.03.03";"MAYONESAS"
"01";"1";"9";"03";"04";"01.1.9.03.04";"KÉTCHUP"
"01";"1";"9";"03";"05";"01.1.9.03.05";"MOSTAZAS"
"01";"1";"9";"03";"06";"01.1.9.03.06";"SALSAS, CREMAS, PULPAS O PASTAS DE AJÍ"
"01";"1";"9";"03";"07";"01.1.9.03.07";"VINAGRES"
"01";"1";"9";"03";"99";"01.1.9.03.99";"OTROS CONDIMENTOS O SALSAS N.C.P."
"01";"1";"9";"04";"00";"01.1.9.04.00";"ESPECIAS, HIERBAS CULINARIAS Y SEMILLAS (ND)"
"01";"1";"9";"04";"01";"01.1.9.04.01";"ESPECIAS Y SEMILLAS"
"01";"1";"9";"04";"02";"01.1.9.04.02";"HIERBAS FRESCAS Y SECAS"
"01";"1";"9";"09";"00";"01.1.9.09.00";"OTROS PRODUCTOS ALIMENTICIOS N.C.P. (ND)"
"01";"1";"9";"09";"01";"01.1.9.09.01";"SOPAS Y CREMAS EN POLVO"
"01";"1";"9";"09";"02";"01.1.9.09.02";"CALDOS Y CONCENTRADOS"
"01";"1";"9";"09";"03";"01.1.9.09.03";"LEVADURAS Y POLVOS DE HORNEAR"
"01";"1";"9";"09";"04";"01.1.9.09.04";"POSTRES EN POLVO"
"01";"1";"9";"09";"05";"01.1.9.09.05";"MANJAR (DULCE DE LECHE)"
"01";"1";"9";"09";"06";"01.1.9.09.06";"SUPLEMENTOS ALIMENTICIOS Y NUTRICIONALES"
"01";"1";"9";"09";"07";"01.1.9.09.07";"SABORIZANTES PARA LECHES"
"01";"1";"9";"09";"99";"01.1.9.09.99";"OTROS PRODUCTOS ALIMENTICIOS N.C.P."
"01";"2";"0";"00";"00";"01.2.0.00.00";"BEBIDAS NO ALCOHÓLICAS"
"01";"2";"1";"00";"00";"01.2.1.00.00";"JUGOS DE FRUTAS Y VERDURAS (ND)"
"01";"2";"1";"01";"00";"01.2.1.01.00";"JUGOS DE FRUTAS Y VERDURAS (ND)"
"01";"2";"1";"01";"01";"01.2.1.01.01";"JUGOS LÍQUIDOS"
"01";"2";"1";"01";"02";"01.2.1.01.02";"JUGOS CONCENTRADOS Y PULPAS"
"01";"2";"1";"01";"03";"01.2.1.01.03";"JUGOS Y REFRESCOS EN POLVO"
"01";"2";"2";"00";"00";"01.2.2.00.00";"CAFÉ Y SUCEDÁNEOS DEL CAFÉ (ND)"
"01";"2";"2";"01";"00";"01.2.2.01.00";"CAFÉ Y SUCEDÁNEOS DEL CAFÉ (ND)"
"01";"2";"2";"01";"01";"01.2.2.01.01";"CAFÉ"
"01";"2";"2";"01";"02";"01.2.2.01.02";"SUCEDÁNEOS DE CAFÉ"
"01";"2";"2";"01";"03";"01.2.2.01.03";"CAFÉS PREPARADOS ENVASADOS"
"01";"2";"3";"00";"00";"01.2.3.00.00";"TÉ, MATE Y OTROS PRODUCTOS VEGETALES PARA INFUSIÓN (ND)"
"01";"2";"3";"01";"00";"01.2.3.01.00";"TÉ, MATE Y OTROS PRODUCTOS VEGETALES PARA INFUSIÓN (ND)"
"01";"2";"3";"01";"01";"01.2.3.01.01";"TÉ"
"01";"2";"3";"01";"02";"01.2.3.01.02";"MATE"
"01";"2";"3";"01";"03";"01.2.3.01.03";"TÉ DE HIERBAS PARA INFUSIÓN"
"01";"2";"3";"01";"04";"01.2.3.01.04";"TÉ, MATE Y OTRAS INFUSIONES PREPARADAS ENVASADAS"
"01";"2";"4";"00";"00";"01.2.4.00.00";"BEBIDAS DE CACAO (ND)"
"01";"2";"4";"01";"00";"01.2.4.01.00";"BEBIDAS DE CACAO (ND)"
"01";"2";"4";"01";"01";"01.2.4.01.01";"BEBIDAS DE CACAO"
"01";"2";"5";"00";"00";"01.2.5.00.00";"AGUAS (ND)"
"01";"2";"5";"01";"00";"01.2.5.01.00";"AGUAS (ND)"
"01";"2";"5";"01";"01";"01.2.5.01.01";"AGUAS MINERALES EMBOTELLADAS SIN SABOR"
"01";"2";"6";"00";"00";"01.2.6.00.00";"REFRESCOS (ND)"
"01";"2";"6";"01";"00";"01.2.6.01.00";"REFRESCOS (ND)"
"01";"2";"6";"01";"01";"01.2.6.01.01";"REFRESCOS"
"01";"2";"9";"00";"00";"01.2.9.00.00";"OTRAS BEBIDAS NO ALCOHÓLICAS (ND)"
"01";"2";"9";"01";"00";"01.2.9.01.00";"OTRAS BEBIDAS NO ALCOHÓLICAS (ND)"
"01";"2";"9";"01";"01";"01.2.9.01.01";"AGUAS SABORIZADAS"
"01";"2";"9";"01";"02";"01.2.9.01.02";"BEBIDAS ENERGIZANTES"
"01";"2";"9";"01";"03";"01.2.9.01.03";"BEBIDAS ISOTÓNICAS"
"01";"2";"9";"01";"99";"01.2.9.01.99";"OTRAS BEBIDAS NO ALCOHÓLICAS N.C.P."
"01";"3";"0";"00";"00";"01.3.0.00.00";"SERVICIOS PARA EL PROCESAMIENTO DE PRODUCTOS PRIMARIOS PARA ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"3";"1";"00";"00";"01.3.1.00.00";"SERVICIOS PARA EL PROCESAMIENTO DE PRODUCTOS PRIMARIOS PARA ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS (S)"
"01";"3";"1";"01";"00";"01.3.1.01.00";"SERVICIOS PARA EL PROCESAMIENTO DE PRODUCTOS PRIMARIOS PARA ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS (S)"
"01";"3";"1";"01";"01";"01.3.1.01.01";"SERVICIOS PARA EL PROCESAMIENTO DE PRODUCTOS PRIMARIOS PARA ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"4";"0";"00";"00";"01.4.0.00.00";"GASTOS NO DESGLOSADOS EN ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"4";"1";"00";"00";"01.4.1.00.00";"GASTOS NO DESGLOSADOS EN ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"4";"1";"01";"00";"01.4.1.01.00";"GASTOS NO DESGLOSADOS EN ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"4";"1";"01";"01";"01.4.1.01.01";"GASTOS NO DESGLOSADOS EN ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"02";"0";"0";"00";"00";"02.0.0.00.00";"BEBIDAS ALCOHÓLICAS, TABACO Y ESTUPEFACIENTES"
"02";"1";"0";"00";"00";"02.1.0.00.00";"BEBIDAS ALCOHÓLICAS"
"02";"1";"1";"00";"00";"02.1.1.00.00";"DESTILADOS Y LICORES (ND)"
"02";"1";"1";"01";"00";"02.1.1.01.00";"DESTILADOS Y LICORES (ND)"
"02";"1";"1";"01";"01";"02.1.1.01.01";"PISCO"
"02";"1";"1";"01";"02";"02.1.1.01.02";"RON"
"02";"1";"1";"01";"03";"02.1.1.01.03";"WHISKY"
"02";"1";"1";"01";"04";"02.1.1.01.04";"VODKA"
"02";"1";"1";"01";"99";"02.1.1.01.99";"OTROS DESTILADOS Y LICORES N.C.P."
"02";"1";"2";"00";"00";"02.1.2.00.00";"VINO DE FRUTAS Y CEREALES DE TODO TIPO (ND)"
"02";"1";"2";"01";"00";"02.1.2.01.00";"VINO DE UVAS CON ALCOHOL Y SIN ALCOHOL (ND)"
"02";"1";"2";"01";"01";"02.1.2.01.01";"VINO DE UVAS"
"02";"1";"2";"01";"02";"02.1.2.01.02";"VINO ESPUMOSO DE UVAS"
"02";"1";"2";"01";"03";"02.1.2.01.03";"VINO DE UVAS Y VINO ESPUMOSO DE UVAS CON BAJO CONTENIDO DE ALCOHOL O SIN ALCOHOL"
"02";"1";"2";"01";"99";"02.1.2.01.99";"OTROS VINOS DE UVAS N.C.P."
"02";"1";"2";"02";"00";"02.1.2.02.00";"VINO DE OTRAS FRUTAS Y CEREALES CON ALCOHOL Y SIN ALCOHOL (ND)"
"02";"1";"2";"02";"01";"02.1.2.02.01";"VINO DE OTRAS FRUTAS Y CEREALES"
"02";"1";"2";"02";"02";"02.1.2.02.02";"VINO DE OTRAS FRUTAS O CEREALES CON BAJO CONTENIDO DE ALCOHOL O SIN ALCOHOL"
"02";"1";"3";"00";"00";"02.1.3.00.00";"CERVEZAS CON ALCOHOL Y SIN ALCOHOL (ND)"
"02";"1";"3";"01";"00";"02.1.3.01.00";"CERVEZAS CON ALCOHOL Y SIN ALCOHOL (ND)"
"02";"1";"3";"01";"01";"02.1.3.01.01";"CERVEZAS CON ALCOHOL"
"02";"1";"3";"01";"02";"02.1.3.01.02";"CERVEZAS CON BAJO CONTENIDO DE ALCOHOL O SIN ALCOHOL"
"02";"1";"9";"00";"00";"02.1.9.00.00";"OTRAS BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS (ND)"
"02";"1";"9";"01";"00";"02.1.9.01.00";"OTRAS BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS (ND)"
"02";"1";"9";"01";"01";"02.1.9.01.01";"CÓCTELES Y CREMAS DE LICOR CON ALCOHOL"
"02";"1";"9";"01";"02";"02.1.9.01.02";"CÓCTELES Y CREMAS DE LICOR CON BAJO CONTENIDO DE ALCOHOL O SIN ALCOHOL"
"02";"1";"9";"01";"99";"02.1.9.01.99";"OTRAS BEBIDAS ALCOHÓLICAS CON ALCOHOL, CON BAJO CONTENIDO DE ALCOHOL O SIN ALCOHOL N.C.P."
"02";"2";"0";"00";"00";"02.2.0.00.00";"SERVICIOS DE PRODUCCIÓN DE BEBIDAS ALCOHÓLICAS"
"02";"2";"1";"00";"00";"02.2.1.00.00";"SERVICIOS DE PRODUCCIÓN DE BEBIDAS ALCOHÓLICAS (S)"
"02";"2";"1";"01";"00";"02.2.1.01.00";"SERVICIOS DE PRODUCCIÓN DE BEBIDAS ALCOHÓLICAS (S)"
"02";"2";"1";"01";"01";"02.2.1.01.01";"SERVICIOS DE PRODUCCIÓN DE BEBIDAS ALCOHÓLICAS"
"02";"3";"0";"00";"00";"02.3.0.00.00";"TABACO"
"02";"3";"1";"00";"00";"02.3.1.00.00";"TABACO (ND)"
"02";"3";"1";"01";"00";"02.3.1.01.00";"CIGARRILLOS Y CIGARROS (ND)"
"02";"3";"1";"01";"01";"02.3.1.01.01";"CIGARRILLOS Y CIGARROS"
"02";"3";"1";"02";"00";"02.3.1.02.00";"PUROS Y HABANOS (ND)"
"02";"3";"1";"02";"01";"02.3.1.02.01";"PUROS Y HABANOS"
"02";"3";"1";"09";"00";"02.3.1.09.00";"OTROS PRODUCTOS DE TABACO (ND)"
"02";"3";"1";"09";"01";"02.3.1.09.01";"OTROS PRODUCTOS DE TABACO"
"02";"4";"0";"00";"00";"02.4.0.00.00";"ESTUPEFACIENTES"
"02";"4";"1";"00";"00";"02.4.1.00.00";"ESTUPEFACIENTES (ND)"
"02";"4";"1";"01";"00";"02.4.1.01.00";"ESTUPEFACIENTES (ND)"
"02";"4";"1";"01";"01";"02.4.1.01.01";"MARIHUANA Y OTRAS DROGAS NATURALES"
"02";"4";"1";"01";"02";"02.4.1.01.02";"COCAÍNA Y OTRAS DROGAS QUÍMICAS O SINTÉTICAS"
"02";"5";"0";"00";"00";"02.5.0.00.00";"GASTOS NO DESGLOSADOS EN BEBIDAS ALCOHÓLICAS, TABACO Y ESTUPEFACIENTES"
"02";"5";"1";"00";"00";"02.5.1.00.00";"GASTOS NO DESGLOSADOS EN BEBIDAS ALCOHÓLICAS, TABACO Y ESTUPEFACIENTES"
"02";"5";"1";"01";"00";"02.5.1.01.00";"GASTOS NO DESGLOSADOS EN BEBIDAS ALCOHÓLICAS, TABACO Y ESTUPEFACIENTES"
"02";"5";"1";"01";"01";"02.5.1.01.01";"GASTOS NO DESGLOSADOS EN BEBIDAS ALCOHÓLICAS, TABACO Y ESTUPEFACIENTES"
"03";"0";"0";"00";"00";"03.0.0.00.00";"VESTUARIO Y CALZADO"
"03";"1";"0";"00";"00";"03.1.0.00.00";"VESTUARIO"
"03";"1";"1";"00";"00";"03.1.1.00.00";"MATERIALES PARA LA CONFECCIÓN DE VESTUARIO (SD)"
"03";"1";"1";"01";"00";"03.1.1.01.00";"MATERIALES PARA LA CONFECCIÓN DE VESTUARIO (SD)"
"03";"1";"1";"01";"01";"03.1.1.01.01";"MATERIALES PARA LA CONFECCIÓN DE VESTUARIO"
"03";"1";"2";"00";"00";"03.1.2.00.00";"VESTUARIO PARA HOMBRES O NIÑOS, MUJERES O NIÑAS Y LACTANTES (SD)"
"03";"1";"2";"01";"00";"03.1.2.01.00";"VESTUARIO PARA HOMBRES O NIÑOS (SD)"
"03";"1";"2";"01";"01";"03.1.2.01.01";"TRAJES O CONJUNTOS PARA HOMBRES"
"03";"1";"2";"01";"02";"03.1.2.01.02";"TRAJES O CONJUNTOS PARA NIÑOS"
"03";"1";"2";"01";"03";"03.1.2.01.03";"ABRIGOS, CHAQUETAS Y PARKAS PARA HOMBRES"
"03";"1";"2";"01";"04";"03.1.2.01.04";"ABRIGOS, CHAQUETAS Y PARKAS PARA NIÑOS"
"03";"1";"2";"01";"05";"03.1.2.01.05";"POLERONES Y CHALECOS PARA HOMBRES"
"03";"1";"2";"01";"06";"03.1.2.01.06";"POLERONES Y CHALECOS PARA NIÑOS"
"03";"1";"2";"01";"07";"03.1.2.01.07";"CAMISAS Y POLERAS PARA HOMBRES"
"03";"1";"2";"01";"08";"03.1.2.01.08";"CAMISAS Y POLERAS PARA NIÑOS"
"03";"1";"2";"01";"09";"03.1.2.01.09";"PANTALONES LARGOS Y CORTOS PARA HOMBRES"
"03";"1";"2";"01";"10";"03.1.2.01.10";"PANTALONES LARGOS Y CORTOS PARA NIÑOS"
"03";"1";"2";"01";"11";"03.1.2.01.11";"BUZOS (PANTALÓN Y POLERÓN) PARA HOMBRES"
"03";"1";"2";"01";"12";"03.1.2.01.12";"BUZOS (PANTALÓN Y POLERÓN) PARA NIÑOS"
"03";"1";"2";"01";"13";"03.1.2.01.13";"TRAJES DE BAÑO PARA HOMBRES"
"03";"1";"2";"01";"14";"03.1.2.01.14";"TRAJES DE BAÑO PARA NIÑOS"
"03";"1";"2";"01";"15";"03.1.2.01.15";"ROPA INTERIOR Y CALCETINES PARA HOMBRES"
"03";"1";"2";"01";"16";"03.1.2.01.16";"ROPA INTERIOR Y CALCETINES PARA NIÑOS"
"03";"1";"2";"01";"17";"03.1.2.01.17";"ROPA DE DORMIR Y LEVANTARSE PARA HOMBRES"
"03";"1";"2";"01";"18";"03.1.2.01.18";"ROPA DE DORMIR Y LEVANTARSE PARA NIÑOS"
"03";"1";"2";"01";"19";"03.1.2.01.19";"UNIFORMES DE INSTITUCIONES SIN FINES DE LUCRO (ISFL) Y OTRAS AGRUPACIONES AFINES PARA HOMBRES O NIÑOS"
"03";"1";"2";"02";"00";"03.1.2.02.00";"VESTUARIO PARA MUJERES O NIÑAS (SD)"
"03";"1";"2";"02";"01";"03.1.2.02.01";"TRAJES O CONJUNTOS PARA MUJERES"
"03";"1";"2";"02";"02";"03.1.2.02.02";"TRAJES O CONJUNTOS PARA NIÑAS"
"03";"1";"2";"02";"03";"03.1.2.02.03";"ABRIGOS, CHAQUETAS Y PARKAS PARA MUJERES"
"03";"1";"2";"02";"04";"03.1.2.02.04";"ABRIGOS, CHAQUETAS Y PARKAS PARA NIÑAS"
"03";"1";"2";"02";"05";"03.1.2.02.05";"POLERONES Y CHALECOS PARA MUJERES"
"03";"1";"2";"02";"06";"03.1.2.02.06";"POLERONES Y CHALECOS PARA NIÑAS"
"03";"1";"2";"02";"07";"03.1.2.02.07";"BLUSAS Y POLERAS PARA MUJERES"
"03";"1";"2";"02";"08";"03.1.2.02.08";"BLUSAS Y POLERAS PARA NIÑAS"
"03";"1";"2";"02";"09";"03.1.2.02.09";"PANTALONES LARGOS Y CORTOS PARA MUJERES"
"03";"1";"2";"02";"10";"03.1.2.02.10";"PANTALONES LARGOS Y CORTOS PARA NIÑAS"
"03";"1";"2";"02";"11";"03.1.2.02.11";"FALDAS Y VESTIDOS PARA MUJERES"
"03";"1";"2";"02";"12";"03.1.2.02.12";"FALDAS Y VESTIDOS PARA NIÑAS"
"03";"1";"2";"02";"13";"03.1.2.02.13";"BUZOS (PANTALÓN Y POLERÓN) PARA MUJERES"
"03";"1";"2";"02";"14";"03.1.2.02.14";"BUZOS (PANTALÓN Y POLERÓN) PARA NIÑAS"
"03";"1";"2";"02";"15";"03.1.2.02.15";"TRAJES DE BAÑO PARA MUJERES"
"03";"1";"2";"02";"16";"03.1.2.02.16";"TRAJES DE BAÑO PARA NIÑAS"
"03";"1";"2";"02";"17";"03.1.2.02.17";"ROPA INTERIOR Y CALCETINES PARA MUJERES"
"03";"1";"2";"02";"18";"03.1.2.02.18";"ROPA INTERIOR Y CALCETINES PARA NIÑAS"
"03";"1";"2";"02";"19";"03.1.2.02.19";"ROPA DE DORMIR Y LEVANTARSE PARA MUJERES"
"03";"1";"2";"02";"20";"03.1.2.02.20";"ROPA DE DORMIR Y LEVANTARSE PARA NIÑAS"
"03";"1";"2";"02";"21";"03.1.2.02.21";"UNIFORMES DE INSTITUCIONES SIN FINES DE LUCRO (ISFL) Y OTRAS AGRUPACIONES AFINES PARA MUJERES O NIÑAS"
"03";"1";"2";"03";"00";"03.1.2.03.00";"VESTUARIO PARA LACTANTES (MENORES DE 2 AÑOS) (SD)"
"03";"1";"2";"03";"01";"03.1.2.03.01";"TRAJES O CONJUNTOS PARA LACTANTES"
"03";"1";"2";"03";"02";"03.1.2.03.02";"ABRIGOS, CHAQUETAS Y PARKAS PARA LACTANTES"
"03";"1";"2";"03";"03";"03.1.2.03.03";"POLERONES Y CHALECOS PARA LACTANTES"
"03";"1";"2";"03";"04";"03.1.2.03.04";"CAMISAS, BLUSAS Y POLERAS PARA LACTANTES"
"03";"1";"2";"03";"05";"03.1.2.03.05";"PANTALONES LARGOS Y CORTOS PARA LACTANTES"
"03";"1";"2";"03";"06";"03.1.2.03.06";"FALDAS Y VESTIDOS PARA LACTANTES"
"03";"1";"2";"03";"07";"03.1.2.03.07";"BUZOS (PANTALÓN Y POLERÓN) PARA LACTANTES"
"03";"1";"2";"03";"08";"03.1.2.03.08";"TRAJES DE BAÑO PARA LACTANTES"
